analysis,match_direction,score,unit,n,mean_gap,gap_sd,ci95_low,ci95_high,t_statistic,p_one_sided_gt0,p_two_sided,cohen_dz,wilcoxon_p_one_sided_gt0,positive_fraction,crossed_boot_ci95_low,crossed_boot_ci95_high,crossed_boot_fraction_le0
directional_gap,trim_r2_to_r1,original,pair_cells,42,0.09727957436610225,0.16787686059295132,0.04496546186969704,0.14959368686250746,3.7553936527727956,0.00026921440963322815,0.0005384288192664563,0.5794698210492194,0.0002635947910221148,0.7619047619047619,-0.02770066997631881,0.2124523552441943,0.06066
directional_gap,trim_r2_to_r1,original,r1_session_means,14,0.09727957436610227,0.10475030169626015,0.03679855081232977,0.15776059791987476,3.4748046746880803,0.0020539221497102318,0.0041078442994204635,0.9286806127602341,0.0042724609375,0.7142857142857143,-0.02770066997631881,0.2124523552441943,0.06066
directional_gap,trim_r2_to_r1,original,r2_session_means,3,0.09727957436610224,0.1137458711502714,-0.18528083371418086,0.37983998244638534,1.481312364456422,0.13835071134827362,0.27670142269654724,0.8552360923728362,0.25,0.6666666666666666,-0.02770066997631881,0.2124523552441943,0.06066
directional_gap,trim_r2_to_r1,matched,pair_cells,42,0.09906019995763965,0.1680410531443526,0.04669492146030531,0.151425478454974,3.820396608121776,0.0002218889730078631,0.0004437779460157262,0.5894999948170033,0.00023689639579060895,0.7619047619047619,-0.025687121638410575,0.21295682602306693,0.05892
directional_gap,trim_r2_to_r1,matched,r1_session_means,14,0.09906019995763969,0.10225860432661601,0.04001783963310829,0.1581025602821711,3.6246273000455287,0.0015416083522043103,0.0030832167044086206,0.9687223936798457,0.00335693359375,0.7142857142857143,-0.025687121638410575,0.21295682602306693,0.05892
directional_gap,trim_r2_to_r1,matched,r2_session_means,3,0.09906019995763966,0.11432723491963862,-0.18494439578637384,0.38306479570165314,1.5007561361487234,0.13611029582836778,0.27222059165673557,0.866461959193448,0.25,0.6666666666666666,-0.025687121638410575,0.21295682602306693,0.05892
matched_minus_original_gap,trim_r2_to_r1,change,pair_cells,42,0.0017806255915374142,0.01153977273970309,-0.0018154207435888041,0.0053766719266636325,1.0,0.1615880507729772,0.3231761015459544,0.1543033499620919,0.15865525393145707,0.023809523809523808,,,
directional_gap,trim_r1_to_r2,original,pair_cells,42,0.09727957436610225,0.16787686059295132,0.04496546186969704,0.14959368686250746,3.7553936527727956,0.00026921440963322815,0.0005384288192664563,0.5794698210492194,0.0002635947910221148,0.7619047619047619,-0.027291591024779384,0.21287019213702665,0.0609
directional_gap,trim_r1_to_r2,original,r1_session_means,14,0.09727957436610227,0.10475030169626015,0.03679855081232977,0.15776059791987476,3.4748046746880803,0.0020539221497102318,0.0041078442994204635,0.9286806127602341,0.0042724609375,0.7142857142857143,-0.027291591024779384,0.21287019213702665,0.0609
directional_gap,trim_r1_to_r2,original,r2_session_means,3,0.09727957436610224,0.1137458711502714,-0.18528083371418086,0.37983998244638534,1.481312364456422,0.13835071134827362,0.27670142269654724,0.8552360923728362,0.25,0.6666666666666666,-0.027291591024779384,0.21287019213702665,0.0609
directional_gap,trim_r1_to_r2,matched,pair_cells,42,0.09505501645133793,0.16558678855909703,0.04345454063827772,0.14665549226439814,3.7202660856252896,0.0002987045494264563,0.0005974090988529126,0.5740495197623409,0.00029299250877556915,0.7619047619047619,-0.02435536577024979,0.20096282723175798,0.05758
directional_gap,trim_r1_to_r2,matched,r1_session_means,14,0.09505501645133795,0.10168878735647621,0.03634165865027703,0.15376837425239887,3.497566582324046,0.0019661764409913593,0.003932352881982719,0.9347639884633182,0.0042724609375,0.7142857142857143,-0.02435536577024979,0.20096282723175798,0.05758
directional_gap,trim_r1_to_r2,matched,r2_session_means,3,0.09505501645133792,0.10505426362885106,-0.1659142416092521,0.3560242745119279,1.5671912050107182,0.12879390594137577,0.25758781188275154,0.9048182640845521,0.25,0.6666666666666666,-0.02435536577024979,0.20096282723175798,0.05758
matched_minus_original_gap,trim_r1_to_r2,change,pair_cells,42,-0.002224557914764333,0.04134859445541708,-0.0151096870163491,0.010660571186820435,-0.34866440332628507,0.6354372842895227,0.7291254314209545,-0.05380008544577974,0.699910256429723,0.047619047619047616,,,
