metric,n_pairs,slope,slope_crossed_ci95_low,slope_crossed_ci95_high,spearman_rho,rho_crossed_ci95_low,rho_crossed_ci95_high,bootstrap_fraction_slope_le0
neural,42,0.2823353362753305,-0.11867028583522903,0.5245176361266581,0.3575885260513735,-0.28572220462464365,0.727891656417589,0.0665
movement,42,-0.09068767093551675,-0.18550930894301837,-0.027235585290268958,-0.5314804310833806,-0.8906605922551254,-0.06489413757901852,0.99445
