analysis,match_direction,score,unit,n,mean_gap,gap_sd,ci95_low,ci95_high,t_statistic,p_one_sided_gt0,p_two_sided,cohen_dz,wilcoxon_p_one_sided_gt0,positive_fraction,crossed_boot_ci95_low,crossed_boot_ci95_high,crossed_boot_fraction_le0
directional_gap,trim_r2_to_r1,original,pair_cells,42,0.09727957436610225,0.16787686059295132,0.04496546203699732,0.14959368669520717,3.7553936527727956,0.0002692144096332278,0.0005384288192664556,0.5794698210492194,0.0002635947910221148,0.7619047619047619,-0.02770066997631881,0.2124523552441943,0.06066
directional_gap,trim_r2_to_r1,original,r1_session_means,14,0.09727957436610227,0.10475030169626015,0.03679855081237956,0.15776059791982497,3.4748046746880803,0.0020539221497102304,0.004107844299420461,0.9286806127602341,0.0042724609375,0.7142857142857143,-0.02770066997631881,0.2124523552441943,0.06066
directional_gap,trim_r2_to_r1,original,r2_session_means,3,0.09727957436610224,0.1137458711502714,-0.1852808337248073,0.3798399824570118,1.481312364456422,0.13835071134827356,0.27670142269654713,0.8552360923728362,0.25,0.6666666666666666,-0.02770066997631881,0.2124523552441943,0.06066
directional_gap,trim_r2_to_r1,matched,pair_cells,42,0.0968358659397244,0.12318417110239868,0.05844897604044341,0.1352227558390054,5.094551774346592,4.135128545443085e-06,8.27025709088617e-06,0.7861064053369986,3.487190497253323e-06,0.7619047619047619,0.03849040032536499,0.1535498488518326,0.00084
directional_gap,trim_r2_to_r1,matched,r1_session_means,14,0.09683586593972439,0.09202817173801862,0.043700381531932356,0.1499713503475164,3.9371273627979377,0.0008512075149684584,0.0017024150299369168,1.0522415485487648,0.00152587890625,0.9285714285714286,0.03849040032536499,0.1535498488518326,0.00084
directional_gap,trim_r2_to_r1,matched,r2_session_means,3,0.09683586593972439,0.024813250036012018,0.03519633577185858,0.1584753961075902,6.759478889670184,0.010596543018911452,0.021193086037822904,3.9025869565326734,0.125,1.0,0.03849040032536499,0.1535498488518326,0.00084
matched_minus_original_gap,trim_r2_to_r1,change,pair_cells,42,-0.00044370842637785003,0.15972311106847123,-0.050216933541959635,0.049329516689203934,-0.01800340124742953,0.5071382658703967,0.9857234682592064,-0.002777985123190081,0.5851400252915686,0.42857142857142855,,,
directional_gap,trim_r1_to_r2,original,pair_cells,42,0.09727957436610225,0.16787686059295132,0.04496546203699732,0.14959368669520717,3.7553936527727956,0.0002692144096332278,0.0005384288192664556,0.5794698210492194,0.0002635947910221148,0.7619047619047619,-0.027291591024779384,0.21287019213702665,0.0609
directional_gap,trim_r1_to_r2,original,r1_session_means,14,0.09727957436610227,0.10475030169626015,0.03679855081237956,0.15776059791982497,3.4748046746880803,0.0020539221497102304,0.004107844299420461,0.9286806127602341,0.0042724609375,0.7142857142857143,-0.027291591024779384,0.21287019213702665,0.0609
directional_gap,trim_r1_to_r2,original,r2_session_means,3,0.09727957436610224,0.1137458711502714,-0.1852808337248073,0.3798399824570118,1.481312364456422,0.13835071134827356,0.27670142269654713,0.8552360923728362,0.25,0.6666666666666666,-0.027291591024779384,0.21287019213702665,0.0609
directional_gap,trim_r1_to_r2,matched,pair_cells,42,0.18135494246468356,0.16398869328272633,0.13025246836078144,0.23245741656858568,7.167045074638032,4.792612532376252e-09,9.585225064752504e-09,1.1058990643459594,3.191689756931737e-08,0.8809523809523809,0.07975568499837728,0.2600986090682669,0.001
directional_gap,trim_r1_to_r2,matched,r1_session_means,14,0.18135494246468356,0.11406148393995431,0.11549780234160899,0.24721208258775812,5.949142836491298,2.4154196277833125e-05,4.830839255566625e-05,1.5899753027950672,0.00030517578125,0.8571428571428571,0.07975568499837728,0.2600986090682669,0.001
directional_gap,trim_r1_to_r2,matched,r2_session_means,3,0.18135494246468356,0.06574532063511015,0.018034512097747146,0.34467537283162,4.77776930005288,0.020562099876293698,0.041124199752587395,2.7584463915114603,0.125,1.0,0.07975568499837728,0.2600986090682669,0.001
matched_minus_original_gap,trim_r1_to_r2,change,pair_cells,42,0.08407536809858131,0.14532352099765325,0.038789371120320694,0.12936136507684193,3.7493631865614967,0.0002740689679497189,0.0005481379358994378,0.5785392999109827,0.000408293671028431,0.6428571428571429,,,
