repeat,random_forward,random_reverse,random_asymmetry,baseline_forward,baseline_reverse,baseline_asymmetry,matched_forward,matched_reverse,matched_asymmetry
0,0.4227666423234354,0.4821733991279541,0.05940675680451868,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
1,0.4158085421554342,0.4774326594340755,0.061624117278641255,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
2,0.3989806604103497,0.48588514396893456,0.08690448355858488,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
3,0.38229512991795067,0.49906938012252894,0.11677425020457827,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
4,0.3595555700424025,0.48776642041091567,0.12821085036851315,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
5,0.3766872848903987,0.5180357613085823,0.1413484764181836,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
6,0.3991830230957037,0.488341939429771,0.0891589163340673,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
7,0.3958038687686323,0.512996364196136,0.1171924954275037,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
8,0.41284506402339244,0.4722871166390578,0.059442052615665375,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
9,0.38811602946688334,0.503637166508876,0.11552113704199268,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
10,0.38119569951835386,0.5095655355706098,0.12836983605225594,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
11,0.3818305977408719,0.5010234672030578,0.11919286946218588,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
12,0.36903328721334006,0.5146325974154056,0.1455993102020655,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
13,0.39881519544373817,0.5073573741729297,0.10854217872919153,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
14,0.39356298490613867,0.510523319179409,0.1169603342732703,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
15,0.40851946254140403,0.5013993096446052,0.09287984710320119,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
16,0.41193273848854084,0.48930612713562194,0.0773733886470811,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
17,0.4143625956792976,0.4907583710795221,0.07639577540022446,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
18,0.39794829015685357,0.5000683938443657,0.10212010368751218,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
19,0.40181950562728164,0.4961605484143984,0.09434104278711675,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
20,0.4055016448190937,0.49992719257004287,0.09442554775094919,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
21,0.3916832091219477,0.49939556411486724,0.10771235499291953,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
22,0.4097871170378259,0.5010624968924431,0.0912753798546172,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
23,0.36508269039989055,0.49474241294512045,0.1296597225452299,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
24,0.4052378963937254,0.475758611003612,0.07052071460988657,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
25,0.409658307749263,0.5067233735381341,0.09706506578887114,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
26,0.3755219478558189,0.4855133242236052,0.10999137636778633,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
27,0.3964218390787988,0.4964424212119483,0.10002058213314952,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
28,0.36772308982934343,0.47761538097896594,0.10989229114962251,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
29,0.42179578524096184,0.5086187112082312,0.08682292596726937,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
30,0.3700543961679437,0.5078198151727938,0.13776541900485012,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
31,0.39082573094595074,0.48742016171000346,0.09659443076405272,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
32,0.3731231209520216,0.4862312174237518,0.1131080964717302,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
33,0.4050274967917269,0.4955790911857852,0.0905515943940583,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
34,0.3910538752302707,0.5183270429389465,0.1272731677086758,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
35,0.3935756240186487,0.49211649200487495,0.09854086798622624,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
36,0.3987879830436153,0.48874209841504423,0.08995411537142894,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
37,0.4133634093505714,0.5070157555620228,0.09365234621145141,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
38,0.380456016576349,0.5226922276490825,0.14223621107273354,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
39,0.394100774130773,0.4989500563699726,0.10484928223919959,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
40,0.3851060952322998,0.48041478931080883,0.095308694078509,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
41,0.4201316236360534,0.4864199441386598,0.06628832050260641,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
42,0.38613476574752553,0.49904694975681857,0.11291218400929304,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
43,0.3993061003386221,0.4753913730388519,0.0760852727002298,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
44,0.38548728945316413,0.5094541431018774,0.1239668536487133,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
45,0.39306021744746955,0.4707026857247059,0.07764246827723637,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
46,0.40406250252355846,0.4779403991408734,0.07387789661731492,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
47,0.3909347269381417,0.5024058206683099,0.11147109373016817,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
48,0.3993874675646122,0.4931920467855703,0.09380457922095814,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
49,0.3900538557494838,0.49927111553288694,0.10921725978340313,0.3787942485279168,0.47607382289393285,0.09727957436601603,0.39343375064015373,0.4874135014512603,0.09397975081110654
