animal,session,date,epoch,n_trials,n_pairs,n_units,bin_ms,n_phase,excluded_trials,neural_mean,neural_sd,neural_q05,neural_median,neural_q95,position_mean,position_sd,position_q05,position_median,position_q95
TS,TSAL20250731_0830_staticAndStaticFree,20250731,R1,43,903,195,30,30,,0.5759955122674215,0.17459845515735192,0.3886980177679001,0.5427766775647612,0.8921651613006223,7.366623059137056,13.325177788482595,0.6902572125733407,2.738359656749512,33.567505771230984
TS,TSAL20250801_0830_staticAndStaticFree,20250801,R1,91,4095,188,30,30,,0.4763180550971735,0.10206496893903355,0.33390594356811637,0.46057107687966253,0.669973271186527,3.921318354201196,4.689187917039043,0.6696450579214435,2.360246053065687,13.695349105619483
TS,TSAL20250802_0830_staticAndStaticFree001,20250802,R1,75,2775,189,30,30,,0.6077533228298377,0.12174086394873702,0.4238426935780731,0.5994763960941305,0.8205010905059893,2.9486902685961236,3.6796127761748605,0.4758664815344132,1.7680333838688762,9.539967463808985
TS,TSAL20250803_1400_staticAndStaticFree001,20250803,R1,75,2775,187,30,30,,0.5198903125972558,0.11036569159249121,0.35480788999535107,0.510579113218051,0.7154031288758271,4.382162315633916,4.335970958076987,0.6702604752450005,2.994505502016916,12.767172780847838
TS,TSAL20250804_0830_staticAndStaticFree001,20250804,R1,70,2415,184,30,30,,0.5705521891726922,0.11910694508583082,0.40344922588019894,0.5573852664037676,0.7840080345808167,3.80318484027354,8.868102979100732,0.3774888641087281,1.5318688030559549,10.269360143304434
TS,TSAL20250805_0830_staticAndStaticFree001,20250805,R1,78,3003,181,30,30,,0.6305229829874469,0.17298328895144818,0.4020094299820516,0.5994606746141291,0.9587042441418457,3.3573390704221153,3.6523366000007833,0.3715832693958701,1.9999437442032733,8.857620454118422
TS,TSAL20250806_0830_staticAndStaticFree001,20250806,R1,100,4950,177,30,30,,0.583121467462783,0.13191376068648286,0.3938868692174263,0.5706023147228598,0.827009692201914,3.105854038146291,2.5347288369666146,0.6103676575506244,2.3577064562785393,8.311134804970886
TS,TSAL20250807_0830_staticAndStaticFree001,20250807,R1,96,4560,183,30,30,,0.5640571957575141,0.127232447875474,0.3864651343432692,0.5447551814070035,0.8057196389629222,3.2137091442087673,3.5534028120492356,0.36224091836286293,2.1668201620049325,8.727285132301644
TS,TSAL20250808_0830_staticAndStaticFree001,20250808,R1,62,1891,196,30,30,,0.5034286108365894,0.10919983366627765,0.3492209860741957,0.4884449090310326,0.6950658229645374,3.0664213433139365,2.571272997934829,0.43848495243579416,2.294103585516065,8.613314693533757
TS,TSAL20250809_0830_staticAndStaticFree001,20250809,R1,61,1830,190,30,30,,0.5157905404120591,0.11313476685110829,0.35836304531603436,0.5015192523849731,0.7182956188384901,3.0955181681951185,3.219852995427533,0.2958783695213441,1.808374059946315,10.336765340421504
TS,TSAL20250810_0830_staticAndStaticFree001,20250810,R1,84,3486,193,30,30,,0.512917238028248,0.10890036401178795,0.346306774322457,0.5069480721395225,0.7041659111317079,2.5669778065754647,2.5647716847368853,0.294270457945318,1.5545382864791861,7.383555201452514
TS,TSAL20250811_0830_staticAndStaticFree001,20250811,R1,86,3655,192,30,30,,0.514410950145457,0.1208067819369662,0.34149323712089047,0.499746128654543,0.7383709882629814,2.062476061429015,2.291051139566075,0.2263429737991839,1.5209736568214247,5.22784126769701
TS,TSAL20250812_0830_staticAndStaticFree001,20250812,R1,76,2850,194,30,30,,0.4996233072815026,0.11189608238590243,0.3415956056869472,0.4890006327105155,0.6946584331440702,1.7866628573470282,1.6561844480185623,0.20405175873993675,1.2343044597904265,5.355118528850832
TS,TSAL20250813_0830_staticAndStaticFree001,20250813,R1,58,1653,184,30,30,,0.6651459824564661,0.16689590496514217,0.4140775064246422,0.6651478170138467,0.9448649982738965,1.5388619372861956,1.4411597411646337,0.23152387915287814,0.976624680569443,4.619141685525962
TS,TSAL20250828_0830_interferenceAndInterferenceFree001,20250828,R2,90,4005,182,30,30,41,0.8688595485308579,0.22921519856427341,0.4698997605661122,0.8786770269484259,1.2247750726548026,3.269424634620207,3.5366641470935427,0.37055211773451174,1.9901555533902195,10.56511410456763
TS,TSAL20250829_0830_interferenceAndInterferenceFree001,20250829,R2,95,4465,186,30,30,,0.8623892010399029,0.2723742189970717,0.4796674787099652,0.8319980470134033,1.3472823440145325,1.7066157425394428,2.231405014059545,0.2411395672423842,1.1232471510644908,5.0949412435845085
TS,TSAL20250830_0830_interferenceAndInterferenceFree001,20250830,R2,79,3081,189,30,30,,0.7607158166146287,0.19281336336962113,0.4536673286068166,0.7413798063834113,1.0846497503875496,2.6436476124827157,5.800273168986785,0.16892576993636307,0.7012784302338428,14.175036023845061
