condition,day_index,r2_date,time_bin,time_end_ms,gap_mean
Original interference random fixed40,2,20250829,10,330,0.2998219393955059
Original interference random fixed40,2,20250829,11,360,0.2720588320419053
Original interference random fixed40,2,20250829,12,390,0.2426585713740975
Original interference random fixed40,2,20250829,13,420,0.2137161082692198
Original interference random fixed40,2,20250829,14,450,0.1887483020053231
Original interference random fixed40,2,20250829,15,480,0.1686535697404953
Original interference random fixed40,2,20250829,16,510,0.1502766851701356
Original interference random fixed40,2,20250829,17,540,0.1345486073381915
Original interference random fixed40,2,20250829,18,570,0.1220934674538337
Original interference random fixed40,2,20250829,19,600,0.1139130929147428
Original interference random fixed40,2,20250829,20,630,0.108653800393484
Original interference random fixed40,2,20250829,21,660,0.1056718217011327
Original interference random fixed40,2,20250829,22,690,0.1040273458011222
Original interference random fixed40,2,20250829,23,720,0.1031041208168573
Original interference random fixed40,2,20250829,24,750,0.1025698876566093
Original interference random fixed40,2,20250829,25,780,0.1019244952368086
Original interference random fixed40,2,20250829,26,810,0.1015435431328924
Original interference random fixed40,2,20250829,27,840,0.1013882646896089
Original interference random fixed40,2,20250829,28,870,0.1014010680806541
Original interference random fixed40,2,20250829,29,900,0.1019878222634278
Original interference random fixed40,2,20250829,30,930,0.1028226057285298
Original interference random fixed40,2,20250829,31,960,0.1038114058692797
Original interference random fixed40,2,20250829,32,990,0.1049332978823501
Original interference random fixed40,2,20250829,33,1020,0.105974241816552
Original interference random fixed40,2,20250829,34,1050,0.1066708303600523
Original interference random fixed40,2,20250829,35,1080,0.1073526946212354
Original interference random fixed40,2,20250829,36,1110,0.1082123472951689
Original interference random fixed40,2,20250829,37,1140,0.1091949050232971
Original interference random fixed40,2,20250829,38,1170,0.1100735213446801
Original interference random fixed40,2,20250829,39,1200,0.1108420970616601
Original interference random fixed40,2,20250829,40,1230,0.1115129074585355
Original interference random fixed40,2,20250829,41,1260,0.1121853424932552
Original interference random fixed40,2,20250829,42,1290,0.1127185468641384
Original interference random fixed40,2,20250829,43,1320,0.1130701236215344
Original interference random fixed40,2,20250829,44,1350,0.1134076545311054
Original interference random fixed40,2,20250829,45,1380,0.1137220497955011
Original interference random fixed40,2,20250829,46,1410,0.1141615629964829
Original interference random fixed40,2,20250829,47,1440,0.1145412571672537
Original interference random fixed40,2,20250829,48,1470,0.1149373970259216
Original interference random fixed40,2,20250829,49,1500,0.1153156145361595
Original interference random fixed40,2,20250829,50,1530,0.1156814412648638
Original interference random fixed40,2,20250829,51,1560,0.1160187712462269
Original interference random fixed40,2,20250829,52,1590,0.1162998916907542
Original interference random fixed40,2,20250829,53,1620,0.1164763787863746
Original interference random fixed40,2,20250829,54,1650,0.1165284831008396
Original interference random fixed40,2,20250829,55,1680,0.1164909880939699
Original interference random fixed40,2,20250829,56,1710,0.1162584950413559
