r1_session,r2_session,r1_to_r2,r2_to_r1,gap,self_r1,self_r2,self_test_gap,ceiling_adjusted_gap,target_normalized_gap
TYTR20250206_0830_staticAndStaticFree001,TYTR20250304_0830_interferenceAndInterferenceFree001,0.4396457478611114,0.3448731279221669,-0.09477261993894448,0.7192929501265061,0.597653927083442,0.12163902304306407,-0.21641164298200855,-0.2561579808485562
TYTR20250206_0830_staticAndStaticFree001,TYTR20250305_0830_interferenceAndInterferenceFree001,0.3814997212835658,0.4067663614980727,0.02526664021450692,0.7192929501265061,0.6296245212152647,0.08966842891124138,-0.06440178869673446,-0.040407620982264914
TYTR20250206_0830_staticAndStaticFree001,TYTR20250306_0830_interferenceAndInterferenceFree001,0.0549256728852263,0.4291977018054264,0.37427202892020006,0.7192929501265061,0.6223991864916928,0.09689376363481328,0.2773782652853868,0.5084455763197233
TYTR20250207_0830_staticAndStaticFree001,TYTR20250304_0830_interferenceAndInterferenceFree001,0.2796739412170416,0.4584063726691669,0.1787324314521253,0.7441669483098445,0.597653927083442,0.14651302122640253,0.03221941022572278,0.1480463833789542
TYTR20250207_0830_staticAndStaticFree001,TYTR20250305_0830_interferenceAndInterferenceFree001,0.4147548741382167,0.3471998974062518,-0.06755497673196492,0.7441669483098445,0.6296245212152647,0.11454242709457985,-0.18209740382654477,-0.19217183844632463
TYTR20250207_0830_staticAndStaticFree001,TYTR20250306_0830_interferenceAndInterferenceFree001,-0.0007149818506865,0.5847070094385504,0.5854219912892369,0.7441669483098445,0.6223991864916928,0.12176776181815174,0.46365422947108514,0.786868959296265
TYTR20250208_0830_staticAndStaticFree001,TYTR20250304_0830_interferenceAndInterferenceFree001,0.2709633514195887,0.4023495698441253,0.13138621842453657,0.6882603602484993,0.597653927083442,0.09060643316505734,0.04077978525947923,0.1312108447025918
TYTR20250208_0830_staticAndStaticFree001,TYTR20250305_0830_interferenceAndInterferenceFree001,0.5234594608648696,0.3012547450963198,-0.22220471576854983,0.6882603602484993,0.6296245212152647,0.05863583903323466,-0.2808405548017845,-0.3936789078896188
TYTR20250208_0830_staticAndStaticFree001,TYTR20250306_0830_interferenceAndInterferenceFree001,0.0553571103661008,0.5363786454388468,0.48102153507274603,0.6882603602484993,0.6223991864916928,0.06586117375680656,0.4151603613159395,0.6903837147376106
TYTR20250209_0830_staticAndStaticFree,TYTR20250304_0830_interferenceAndInterferenceFree001,0.1835116688147865,0.401077626943315,0.2175659581285285,0.5359792113522095,0.597653927083442,-0.06167471573123251,0.27924067385976103,0.44125478026351045
TYTR20250209_0830_staticAndStaticFree,TYTR20250305_0830_interferenceAndInterferenceFree001,0.2876380276363769,0.2948344579342018,0.007196430297824907,0.5359792113522095,0.6296245212152647,-0.09364530986305519,0.1008417401608801,0.09324504821002833
TYTR20250209_0830_staticAndStaticFree,TYTR20250306_0830_interferenceAndInterferenceFree001,-0.0573005498041371,0.5145113418579793,0.5718118916621164,0.5359792113522095,0.6223991864916928,-0.0864199751394833,0.6582318668015997,1.0520104369052727
TYTR20250210_0830_staticAndStaticFree001,TYTR20250304_0830_interferenceAndInterferenceFree001,0.243078568331789,0.3986511338505933,0.1555725655188043,0.6576361495605972,0.597653927083442,0.059982222477155234,0.09559034304164907,0.1994667104185861
TYTR20250210_0830_staticAndStaticFree001,TYTR20250305_0830_interferenceAndInterferenceFree001,0.4034432438861311,0.271881609915653,-0.1315616339704781,0.6576361495605972,0.6296245212152647,0.02801162834533255,-0.15957326231581065,-0.22734545399162653
TYTR20250210_0830_staticAndStaticFree001,TYTR20250306_0830_interferenceAndInterferenceFree001,0.0556290976832185,0.5855593021161509,0.5299302044329324,0.6576361495605972,0.6223991864916928,0.03523696306890445,0.4946932413640279,0.8010216262207341
TYTR20250212_0830_staticAndStaticFree001,TYTR20250304_0830_interferenceAndInterferenceFree001,0.1446947165161059,0.3061142330362674,0.16141951652016148,0.5120761259123531,0.597653927083442,-0.08557780117108893,0.2469973176912504,0.35568596091277915
TYTR20250212_0830_staticAndStaticFree001,TYTR20250305_0830_interferenceAndInterferenceFree001,0.2879909459165706,0.3824102709266802,0.09441932501010958,0.5120761259123531,0.6296245212152647,-0.11754839530291161,0.2119677203130212,0.28938293024616635
TYTR20250212_0830_staticAndStaticFree001,TYTR20250306_0830_interferenceAndInterferenceFree001,-0.0815197758276545,0.3941486995106952,0.4756684753383497,0.5120761259123531,0.6223991864916928,-0.11032306057933972,0.5859915359176895,0.9006839107978821
TYTR20250213_0830_staticAndStaticFree001,TYTR20250304_0830_interferenceAndInterferenceFree001,0.3626397501087878,0.3356022117044174,-0.027037538404370398,0.6754263593027219,0.597653927083442,0.07777243221927987,-0.10480997062365027,-0.10989752209922082
