metric,unit,n,mean_gap,sd,t,df,p_one_sided_gt0,p_two_sided,ci95_low,ci95_high,positive_fraction,crossed_boot_ci95_low,crossed_boot_ci95_high,crossed_boot_fraction_le0
gap,pair_cells,33,0.18518156892178753,0.2606541685423716,4.0812204523883535,32,0.000139309337439593,0.000278618674879186,0.09275761958322562,0.2776055182603494,0.7272727272727273,-0.056548807794265285,0.48237937081096044,0.09128
gap,r1_session_means,11,0.1851815689217875,0.09794749294069992,6.270479863887353,10,4.627863613214752e-05,9.255727226429504e-05,0.11937954780970422,0.2509835900338708,1.0,-0.056548807794265285,0.48237937081096044,0.09128
gap,r2_session_means,3,0.1851815689217875,0.280754309478441,1.1424361983746631,2,0.18580035867847447,0.37160071735694894,-0.5122507989900309,0.8826139368336059,0.6666666666666666,-0.056548807794265285,0.48237937081096044,0.09128
ceiling_adjusted_gap,pair_cells,33,0.1906238237842777,0.28851674808960237,3.7954486347923475,32,0.00030996565640372374,0.0006199313128074475,0.08832023332999625,0.29292741423855917,0.7272727272727273,-0.06067853256743599,0.48571901038658544,0.09253
ceiling_adjusted_gap,r1_session_means,11,0.19062382378427767,0.16071403694400463,3.9338673311750174,10,0.0014012989038586301,0.0028025978077172603,0.08265466465122967,0.29859298291732567,0.8181818181818182,-0.06067853256743599,0.48571901038658544,0.09253
ceiling_adjusted_gap,r2_session_means,3,0.19062382378427767,0.28096336615469775,1.1751359347881483,2,0.1804498007958834,0.3608996015917668,-0.5073278697009234,0.8885755172694787,0.6666666666666666,-0.06067853256743599,0.48571901038658544,0.09253
target_normalized_gap,pair_cells,33,0.3173620993372433,0.44701618650979447,4.078390260348376,32,0.00014042673217942663,0.00028085346435885325,0.1588570518003486,0.475867146874138,0.7272727272727273,-0.08065992424987753,0.791750487183888,0.07925
target_normalized_gap,r1_session_means,11,0.3173620993372433,0.2241462268478559,4.695912222049535,10,0.00042340098982686277,0.0008468019796537255,0.1667786151824622,0.4679455834920244,1.0,-0.08065992424987753,0.791750487183888,0.07925
target_normalized_gap,r2_session_means,3,0.3173620993372433,0.4529001067738338,1.213705345234828,2,0.17436893185474295,0.3487378637094859,-0.8077041355553884,1.442428334229875,0.6666666666666666,-0.08065992424987753,0.791750487183888,0.07925
