analysis,n_pairs,mean_r1_to_r2,mean_r2_to_r1,mean_gap,positive_pairs,paired_t_statistic,paired_t_p_two_sided,wilcoxon_statistic,wilcoxon_p_two_sided,t_ci95_low,t_ci95_high
all_pair_cells,33,0.2130194986992087,0.39820106762099616,0.18518156892178753,24,4.0812204523883535,0.000278618674879186,100.0,0.0008192581590265036,0.09275761958322562,0.2776055182603494
within_r2_3/4,11,0.26241165452524673,0.3832544086913693,0.12084275416612256,8,3.2786289253279253,0.008308181174063017,6.0,0.013671875,0.03871865849352879,0.20296684983871632
within_r2_3/5,11,0.38447509382785783,0.32665635889894634,-0.05781873492891145,5,-1.23031115449326,0.2467366785575178,21.0,0.3203125,-0.1625305951744321,0.04689312531660921
within_r2_3/6,11,-0.007828252255478526,0.4846924352726729,0.49252068752815154,11,23.67177850920933,4.107510565456075e-10,0.0,0.0009765625,0.44616149745455697,0.538879877601746
independent_r2_date_means,3,0.2130194986992087,0.39820106762099616,0.1851815689217875,2,1.1424361983746631,0.37160071735694894,1.0,0.5,-0.5122507989900309,0.8826139368336059
