pair_id,r1_session,r2_session,r1_date,r2_date,n_repeats,random_forward_mean,random_reverse_mean,random_gap_mean,random_gap_sd,random_gap_q025,random_gap_q975,positive_gap_fraction,analysis_mode,target_mode,n_r1_allowed,n_r2_allowed,reference_forward,reference_reverse,reference_gap
1,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260609,20260626,50,0.3325418837317416,0.33108234305133294,-0.0014595406804087429,0.06824706323274375,-0.12944856275033848,0.14346400371953755,0.46,fixed31,relative_velocity,40,75,0.30249806219074565,0.40066678756245805,0.0981687253717124
2,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260609,20260627,50,0.28087902204208104,0.22903254397552733,-0.051846478066553715,0.08821949001599706,-0.19152153802584504,0.1188291148918335,0.26,fixed31,relative_velocity,40,74,0.30782649798555367,0.21245202522826598,-0.09537447275728769
3,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260609,20260628,50,0.28905878377699834,0.3744980661133592,0.08543928233636076,0.06543862194929999,-0.05627461819239842,0.19096677567348908,0.92,fixed31,relative_velocity,40,89,0.18325717815516543,0.43706121230651107,0.25380403415134567
4,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260610,20260626,50,0.35103346010517616,0.35298874265410424,0.001955282548928037,0.06587406236772975,-0.09626526824794421,0.16363901889018787,0.5,fixed31,relative_velocity,31,75,0.30946811759639864,0.4721801037978987,0.16271198620150007
5,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260610,20260627,50,0.2814803305558496,0.24013112983071735,-0.04134920072513228,0.10293249158089869,-0.24722800832682282,0.15435419387078855,0.28,fixed31,relative_velocity,31,74,0.26451204023609054,0.13087311597325163,-0.1336389242628389
6,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260610,20260628,50,0.2828936752636954,0.40811365366548635,0.12521997840179103,0.06296656667177121,0.008672347164857295,0.23314899959470953,0.98,fixed31,relative_velocity,31,89,0.1980044578795129,0.21304139129273464,0.015036933413221737
7,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260611,20260626,50,0.2946567278469932,0.25378859389879477,-0.04086813394819851,0.08419084601414249,-0.18401348374665813,0.11838798772139683,0.28,fixed31,relative_velocity,91,75,0.3194335226220886,0.25346914245225455,-0.06596438016983402
8,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260611,20260627,50,0.23191163458374844,0.1807096317794869,-0.05120200280426156,0.09099566346028347,-0.2049838014404695,0.11218354183552436,0.3,fixed31,relative_velocity,91,74,0.30616845457098457,0.1659258781127036,-0.14024257645828098
9,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260611,20260628,50,0.24407198147418502,0.29176053423295933,0.0476885527587743,0.0706830339454953,-0.11063862973649961,0.18622171721660358,0.74,fixed31,relative_velocity,91,89,0.26817810619787114,0.31371330096488165,0.04553519476701051
