unit,n,mean_gap,gap_sd,ci95_low,ci95_high,t_statistic,p_one_sided_gt0,p_two_sided,cohen_dz,wilcoxon_p_one_sided_gt0,positive_fraction,wilcoxon_p_two_sided,crossed_boot_ci95_low,crossed_boot_ci95_high,crossed_boot_fraction_le0,crossed_boot_p_two_sided
pair_cells,9,0.03008380399172128,0.10900081653020609,-0.053701640561373984,0.11386924854481655,0.8279884027304838,0.2158411319807648,0.4316822639615296,0.27599613424349456,0.3671875,0.5555555555555556,0.734375,-0.06766518570641943,0.1550596616704906,0.32128,0.64256
r1_session_means,3,0.030083803991721277,0.04357060967190959,-0.078151590618223,0.13831919860166556,1.195913424002381,0.1771435557973481,0.3542871115946962,0.6904609372752617,0.25,0.6666666666666666,0.5,-0.06766518570641943,0.1550596616704906,0.32128,0.64256
r2_session_means,3,0.030083803991721277,0.1166154856195748,-0.2596051216099428,0.3197727295933854,0.44682467960205574,0.34936352686314565,0.6987270537262913,0.25797434904881517,0.625,0.3333333333333333,1.0,-0.06766518570641943,0.1550596616704906,0.32128,0.64256
