repeat,random_forward,random_reverse,random_gap
0,0.30124352670889365,0.30214053689893133,0.0008970101900376837
1,0.29564105549040515,0.2694545386148302,-0.02618651687557494
2,0.2981238400406532,0.30004306531854796,0.0019192252778947871
3,0.30614868848751864,0.32632883060016227,0.02018014211264363
4,0.313885407318756,0.3308844080870512,0.01699900076829519
5,0.29588457774841914,0.2976364638631471,0.0017518861147279852
6,0.30181438389698845,0.31774154733089477,0.01592716343390632
7,0.31506575852267926,0.2860367411127448,-0.029029017409934466
8,0.2680665755998718,0.313105177576468,0.045038601976596204
9,0.30863579700990074,0.2674868644069874,-0.04114893260291336
10,0.30191339657797217,0.28778097414865417,-0.014132422429318003
11,0.28053623076840106,0.31068691619854255,0.03015068543014149
12,0.24446619842339753,0.29769682788509144,0.05323062946169391
13,0.26437680290652726,0.27566902659855297,0.011292223692025705
14,0.28061136062234504,0.29863389305439864,0.018022532432053595
15,0.32229004046622245,0.2810629192789543,-0.04122712118726812
16,0.29875203225278946,0.30002296213158675,0.001270929878797289
17,0.3216013821156439,0.31813456558432573,-0.00346681653131814
18,0.28294301634751085,0.35167454355156696,0.06873152720405612
19,0.30320616492894154,0.2826462982250739,-0.020559866703867613
20,0.32243710069669373,0.3165621412178455,-0.005874959478848252
21,0.2718988399190466,0.29649641206452776,0.02459757214548114
22,0.2995790466218274,0.3270965320429686,0.02751748542114124
23,0.2572520471901337,0.262590048513484,0.005338001323350272
24,0.2815063846302674,0.2902034585246369,0.008697073894369522
25,0.2761534423717398,0.24656342404750195,-0.029590018324237827
26,0.3269353352958604,0.32842840496756787,0.001493069671707481
27,0.2912904045637777,0.28139100976923054,-0.009899394794547156
28,0.33870310932198877,0.3211669060525481,-0.017536203269440664
29,0.29216325581059926,0.29394435143393094,0.0017810956233316744
30,0.30007254065739647,0.3054253541861742,0.005352813528777756
31,0.2904284083399228,0.2781988805023334,-0.012229527837589405
32,0.303604171105149,0.27552017045382,-0.02808400065132899
33,0.286875610053248,0.3085793543122924,0.021703744259044366
34,0.3140755072386354,0.3065797411291842,-0.007495766109451241
35,0.3079527372450852,0.318750440532583,0.010797703287497795
36,0.25743941275377724,0.2947582436927095,0.037318830938932235
37,0.29657022683884393,0.3135164086023945,0.01694618176355056
38,0.26556172327358873,0.2952715538830018,0.029709830609413068
39,0.26469124096474644,0.2804239850391795,0.015732744074433036
40,0.3069804584253668,0.33045061848607477,0.023470160060707956
41,0.29111953272283014,0.3433090157286383,0.05218948300580817
42,0.30068887037784936,0.27556133716778186,-0.0251275332100675
43,0.2908657862098411,0.3256272298854386,0.03476144367559747
44,0.3062978943827576,0.29950579011550965,-0.006792104267247967
45,0.3041285565086309,0.27417306805958946,-0.029955488449041445
46,0.3002576756655288,0.3203674769625164,0.020109801296987584
47,0.27789853937142045,0.2947831027165596,0.01688456334513916
48,0.2841036754737982,0.3033460634027091,0.019242387928910865
49,0.31031527392033237,0.3195881214958767,0.009272847575544307
