pair_id,r1_session,r2_session,r1_date,r2_date,n_repeats,random_forward_mean,random_reverse_mean,random_gap_mean,random_gap_sd,random_gap_q025,random_gap_q975,positive_gap_fraction,analysis_mode,target_mode,n_r1_allowed,n_r2_allowed,reference_forward,reference_reverse,reference_gap
1,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260609,20260626,50,0.357926752393484,0.34599176459413067,-0.011934987799353343,0.05997316726317757,-0.1216123746443104,0.10193143772164176,0.4,dropout_clean_fixed31,relative_velocity,39,69,0.36161435568563705,0.4248545878224599,0.06324023213682284
2,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260609,20260627,50,0.2807659183189493,0.23060127835789734,-0.05016463996105192,0.07695755162342251,-0.143056763837134,0.1368598264170498,0.22,dropout_clean_fixed31,relative_velocity,39,74,0.3172818109389541,0.2343489626953528,-0.08293284824360128
3,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260609,20260628,50,0.307061267351048,0.3835438825593353,0.07648261520828728,0.06263348975208785,-0.03813519486322559,0.20536422789278816,0.88,dropout_clean_fixed31,relative_velocity,39,78,0.20802051680509753,0.4375054030912222,0.22948488628612468
4,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260610,20260626,50,0.35099730937340645,0.3508908781034101,-0.00010643126999642205,0.0841773204601671,-0.1559369101549221,0.17327136835455484,0.48,dropout_clean_fixed31,relative_velocity,31,69,0.34162928804979076,0.45487564648678497,0.11324635843699421
5,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260610,20260627,50,0.2814803305558496,0.24013112983071735,-0.04134920072513228,0.10293249158089869,-0.24722800832682282,0.15435419387078855,0.28,dropout_clean_fixed31,relative_velocity,31,74,0.26451204023609054,0.13087311597325163,-0.1336389242628389
6,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260610,20260628,50,0.30071533588929245,0.39794516754077064,0.09722983165147825,0.09553798943608319,-0.08643015252876635,0.26794018181785173,0.84,dropout_clean_fixed31,relative_velocity,31,78,0.29839182945004167,0.3157247619174732,0.017332932467431506
7,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260611,20260626,50,0.28529644000190113,0.25306901102160906,-0.03222742898029206,0.08455520361475867,-0.1612626354309718,0.13515483372631976,0.36,dropout_clean_fixed31,relative_velocity,87,69,0.34366910712256477,0.2797077938114463,-0.06396131331111848
8,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260611,20260627,50,0.21916832052475183,0.18179463618325248,-0.037373684341499354,0.10439398536106267,-0.2332002516374329,0.14174351590130274,0.34,dropout_clean_fixed31,relative_velocity,87,74,0.3199867422685388,0.18324926122492838,-0.13673748104361041
9,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260611,20260628,50,0.266737873544531,0.32378048599079895,0.05704261244626796,0.08943822850160521,-0.11462048235023194,0.22938055213510866,0.72,dropout_clean_fixed31,relative_velocity,87,78,0.20695838282579992,0.38447624708075967,0.17751786425495975
