repeat,random_forward,random_reverse,random_gap
0,0.27246355290424973,0.2975817353943475,0.025118182490097785
1,0.27265971047881443,0.24289956400474402,-0.02976014647407041
2,0.27435310982832234,0.28476508059947747,0.010411970771155132
3,0.29555390738737725,0.3328424773138181,0.03728856992644086
4,0.30497291755568257,0.32573333902730234,0.020760421471619772
5,0.2795416339162304,0.25825706378193536,-0.021284570134295022
6,0.29004885147780307,0.30555491959023784,0.015506068112434768
7,0.27757794912612926,0.3096999353425709,0.032121986216441634
8,0.2734889389376744,0.2940830857451525,0.02059414680747812
9,0.28452361282238603,0.2758762819467199,-0.008647330875666104
10,0.3125101181711157,0.27607761742000464,-0.03643250075111104
11,0.28279003550089554,0.3014784609339306,0.01868842543303506
12,0.2788441873719404,0.29562267235261236,0.01677848498067197
13,0.26392060632578773,0.24821542324194393,-0.015705183083843804
14,0.3022670095637907,0.30074209852549466,-0.0015249110382960507
15,0.3150965173432301,0.2859855057014189,-0.02911101164181118
16,0.28564300628983763,0.3193320795546613,0.03368907326482368
17,0.29820587075144434,0.3454540111925317,0.04724814044108738
18,0.31993001181338343,0.2785493353012724,-0.041380676512111025
19,0.3070687452611091,0.2916102961770677,-0.015458449084041426
20,0.27518927440852353,0.295370429711052,0.020181155302528453
21,0.30990774839966906,0.26433902383860297,-0.04556872456106609
22,0.29248903509816543,0.3018541977527756,0.009365162654610182
23,0.26482632120782224,0.2977675365537605,0.032941215345938246
24,0.2981485361721463,0.30997477371104387,0.011826237538897555
25,0.277452210269088,0.27542585794341795,-0.0020263523256700555
26,0.3066099579938902,0.33659799596823525,0.029988037974345072
27,0.29879541079199545,0.30171328466708824,0.0029178738750927913
28,0.2838892783982852,0.32765919431636137,0.04376991591807616
29,0.2761927399143566,0.2710299802503808,-0.0051627596639758355
30,0.26255028310132483,0.27284316990370816,0.010292886802383328
31,0.2751690301356785,0.29279155919489636,0.01762252905921785
32,0.300928995742644,0.2969673390399003,-0.003961656702743677
33,0.2676402864426308,0.30879702326065195,0.04115673681802112
34,0.29284461017418656,0.2905028524027782,-0.0023417577714083815
35,0.3143718703184047,0.2895138733479638,-0.024857996970440888
36,0.2796168204146739,0.28839643546851673,0.008779615053842837
37,0.29416429994022675,0.31659042203894183,0.022426122098715084
38,0.2811697056409812,0.3162068549340206,0.035037149293039416
39,0.3029566115940772,0.2702644313713518,-0.03269218022272541
40,0.2776576822819315,0.29655418730270405,0.018896505020772558
41,0.2733187897228971,0.3208165276453712,0.04749773792247414
42,0.2853325916178383,0.2618473994160422,-0.023485192201796123
43,0.26313957633902596,0.31030528692777354,0.04716571058874758
44,0.3204301006711815,0.29732180643102907,-0.023108294240152427
45,0.2867454005029587,0.23923876572354116,-0.04750663477941755
46,0.2529225583509704,0.3297140120312207,0.07679145368025031
47,0.2768986073740323,0.27531743538593745,-0.001581171988094876
48,0.2922884165178046,0.313780343865256,0.021491927347451423
49,0.30560128752687943,0.34961056756936704,0.04400928004248761
