pair_id,r1_session,r2_session,r1_date,r2_date,n_repeats,random_forward_mean,random_reverse_mean,random_gap_mean,random_gap_sd,random_gap_q025,random_gap_q975,positive_gap_fraction,analysis_mode,target_mode,n_r1_allowed,n_r2_allowed,reference_forward,reference_reverse,reference_gap
1,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260609,20260626,50,0.49842086998384166,0.4750222094084984,-0.023398660575343355,0.10324635118770331,-0.1848181230964196,0.18893343990994063,0.38,dropout_clean_fixed31,relative_position,39,70,0.44282828613431896,0.566768404531184,0.12394011839686508
2,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260609,20260627,50,0.4391282801595547,0.44375372155558807,0.004625441396033362,0.14938583146983697,-0.2654606645502587,0.25935425597570627,0.56,dropout_clean_fixed31,relative_position,39,81,0.4659384637785416,0.45717734305019425,-0.008761120728347338
3,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260609,20260628,50,0.49769176432622003,0.6244963392986943,0.12680457497247424,0.11782540593045521,-0.12281487338969574,0.32087724358624575,0.88,dropout_clean_fixed31,relative_position,39,82,0.5192451442471734,0.7034869435881573,0.18424179934098395
4,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260610,20260626,50,0.45863510966035576,0.3845052835103834,-0.07412982614997238,0.07753166344352046,-0.1854826581149732,0.08595785341392419,0.14,dropout_clean_fixed31,relative_position,31,70,0.45478443883512804,0.35482160499562954,-0.0999628338394985
5,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260610,20260627,50,0.46969905017780816,0.49331826969351733,0.023619219515709045,0.0957696782799281,-0.1396407829951415,0.19025200868962075,0.58,dropout_clean_fixed31,relative_position,31,81,0.43536614356369596,0.5046878373013182,0.0693216937376222
6,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260610,20260628,50,0.4488771941937604,0.5743765740280186,0.1254993798342581,0.0942622657584034,-0.03457378643221889,0.2866181472419511,0.9,dropout_clean_fixed31,relative_position,31,82,0.26417888583340554,0.6256751577404781,0.36149627190707256
7,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260611,20260626,50,0.4515570782509244,0.34424102230791775,-0.10731605594300671,0.09691007242241038,-0.2737028294077361,0.0783019153872632,0.16,dropout_clean_fixed31,relative_position,89,70,0.4397462730882581,0.21443157209051367,-0.22531470099774442
8,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260611,20260627,50,0.48469659698199313,0.4416625034454331,-0.04303409353656005,0.15820972703527897,-0.3345795691621154,0.21759635208508896,0.42,dropout_clean_fixed31,relative_position,89,81,0.49294088612796544,0.5584560047965899,0.06551511866862442
9,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260611,20260628,50,0.5454126681454511,0.571392611904606,0.02597994375915497,0.13654629153916933,-0.23018966987135647,0.30666442683692097,0.58,dropout_clean_fixed31,relative_position,89,82,0.5718024493892965,0.5938005571068857,0.021998107717589255
