repeat,random_forward,random_reverse,random_gap
0,0.46274175698447517,0.4852864009899066,0.022544644005431436
1,0.47640484827676577,0.48447794924461324,0.008073100967847469
2,0.4829891014455156,0.5132231013520304,0.03023399990651482
3,0.46947698244706537,0.49396867609592654,0.024491693648861168
4,0.4688399096576547,0.5126649347577142,0.043825025100059534
5,0.47154706934431,0.47804026056525284,0.006493191220942829
6,0.47677149889343695,0.5017945117011833,0.025023012807746325
7,0.4986133857724994,0.47122665600345026,-0.027386729769049156
8,0.4707417958641619,0.4687436831740365,-0.001998112690125453
9,0.439617510525427,0.4679884752930568,0.02837096476762979
10,0.4481715364606766,0.520831195410239,0.07265965894956244
11,0.4415340522669722,0.4388715481266086,-0.002662504140363564
12,0.4275930657314655,0.4879708854887555,0.06037781975729001
13,0.455591185942892,0.4834998864071094,0.027908700464217395
14,0.47964194260811294,0.5115362435013442,0.03189430089323125
15,0.4723038586644356,0.48948045761210346,0.017176598947667876
16,0.4419417664849408,0.4790501749538576,0.037108408468916776
17,0.4535216567955653,0.4663595778909752,0.012837921095409932
18,0.42679353741859344,0.5076335031747581,0.08083996575616464
19,0.4432393640839403,0.47729110348725434,0.03405173940331402
20,0.38969038413979384,0.5226218527868736,0.13293146864707972
21,0.46839172645512417,0.4859455225526643,0.017553796097540153
22,0.44287662954459395,0.5110817132646338,0.06820508372003986
23,0.46219811449823667,0.4673176416197234,0.005119527121486722
24,0.48326737476335563,0.5424841691481179,0.059216794384762295
25,0.48908012441974985,0.4730124105817162,-0.016067713838033626
26,0.48609971974423005,0.5255426825259597,0.03944296278172965
27,0.4608556855042296,0.42835840341941367,-0.03249728208481595
28,0.46841996631377675,0.484833265157047,0.016413298843270252
29,0.4295153370279708,0.42857566723712825,-0.0009396697908425344
30,0.4560893287007036,0.48447973614182716,0.028390407441123533
31,0.42191246174887864,0.44806624970784725,0.02615378795896861
32,0.4493054189542635,0.5010456613223083,0.05174024236804481
33,0.4404274677492464,0.4656142007469453,0.025186732997698913
34,0.45358383264702795,0.4956649851125333,0.04208115246550537
35,0.4501076561974711,0.5007319783094721,0.05062432211200102
36,0.48534888342270566,0.5030300453324043,0.017681161909698595
37,0.4809549520667625,0.4675448922395932,-0.013410059827169252
38,0.45878937596334546,0.5050817789702835,0.04629240300693804
39,0.4540111275321242,0.47249760122729817,0.018486473695173977
40,0.4228800084788058,0.5390543224403306,0.11617431396152478
41,0.4485570656404864,0.4685184186155477,0.019961352975061297
42,0.4939905036298284,0.47521889875411116,-0.018771604875717218
43,0.4967548862119772,0.5265936034372857,0.029838717225308453
44,0.5051757160692245,0.47908310650607866,-0.026092609563145852
45,0.4208219641660004,0.5215404344643315,0.10071847029833114
46,0.4375318320875221,0.48277290853461696,0.04524107644709485
47,0.41709685000382185,0.45985820192879806,0.04276135192497621
48,0.41412284952164774,0.46349571511204357,0.04937286559039583
49,0.46166315505523337,0.4921811310859982,0.030517976030764837
