repeat,random_forward,random_reverse,random_gap
0,0.5002063628757826,0.4502400420371845,-0.04996632083859809
1,0.4764801430714905,0.5025721701979083,0.02609202712641784
2,0.5013482119741833,0.5222018446941203,0.02085363271993701
3,0.48905675399208476,0.5129417821448599,0.0238850281527751
4,0.4748120397521196,0.49642923283575247,0.021617193083632857
5,0.4360221548457139,0.460852567939463,0.024830413093749115
6,0.4833707785155082,0.44741226909036225,-0.035958509425145946
7,0.4867118223513709,0.43617394645082797,-0.05053787590054293
8,0.47003500804830156,0.5004628109121061,0.03042780286380453
9,0.49003200981882256,0.5182665881478015,0.02823457832897891
10,0.4539310921855066,0.5267155140639186,0.072784421878412
11,0.4778711497880324,0.451579997015401,-0.026291152772631388
12,0.4137485990574117,0.4907639608353902,0.07701536177797852
13,0.48846301498710953,0.5189677830342551,0.030504768047145525
14,0.4558278999850212,0.49495473440840065,0.03912683442337944
15,0.547029106859038,0.5113040636860774,-0.03572504317296066
16,0.4864937718886394,0.46410143901331197,-0.022392332875327436
17,0.49932441266159455,0.440292276749516,-0.059032135912078565
18,0.46102886590298514,0.490676701042609,0.02964783513962388
19,0.4881063110675003,0.4816040953476196,-0.0065022157198806885
20,0.4524790927504961,0.49344898022086014,0.040969887470364064
21,0.46355767534964276,0.485210300636269,0.02165262528662626
22,0.518523084845697,0.48371939725410773,-0.03480368759158925
23,0.48915001518107065,0.4563860620965209,-0.03276395308454977
24,0.4815980195221193,0.49247939820224357,0.010881378680124287
25,0.5256784165956047,0.42925494245225626,-0.0964234741433484
26,0.46579939234491646,0.5437035280973787,0.07790413575246219
27,0.46818284796976317,0.46437227697423783,-0.003810570995525342
28,0.5062896409318302,0.5290178518416001,0.022728210909769953
29,0.47777847449051436,0.4994028908107491,0.021624416320234763
30,0.4951884566265161,0.5150796016344973,0.01989114500798117
31,0.4636900582452888,0.43741972463651685,-0.026270333608771956
32,0.4573838726552632,0.4741611230588246,0.016777250403561372
33,0.468021423326352,0.45338848428833206,-0.014632939038019932
34,0.4900934410818847,0.5199104168243215,0.029816975742436802
35,0.4548690680993413,0.494902059625942,0.040032991526600725
36,0.48993647849103666,0.4684709955483839,-0.02146548294265277
37,0.5032658900327307,0.46442306801007205,-0.03884282202265865
38,0.46276882414122916,0.473626554394211,0.010857730252981812
39,0.4311804988903828,0.5160487139442345,0.08486821505385167
40,0.4726506349559674,0.5031461054415794,0.030495470485612075
41,0.4852389927188205,0.4921238993939261,0.0068849066751056065
42,0.4870558907892619,0.4541803498203241,-0.0328755409689378
43,0.48663767264718644,0.4823974960454998,-0.004240176601686629
44,0.5210935612217258,0.508697350174744,-0.012396211046981742
45,0.4965204175765844,0.40216472702333567,-0.09435569055324872
46,0.437845740126332,0.4790321129215165,0.0411863727951845
47,0.41839145172940384,0.461494031031356,0.04310257930195216
48,0.43655914051621403,0.47569079963710575,0.039131659120891726
49,0.46888682696254846,0.5101803558269272,0.04129352886437876
