unit,n,mean_gap,gap_sd,ci95_low,ci95_high,t_statistic,p_one_sided_gt0,p_two_sided,cohen_dz,wilcoxon_p_one_sided_gt0,positive_fraction,wilcoxon_p_two_sided,crossed_boot_ci95_low,crossed_boot_ci95_high,crossed_boot_fraction_le0,crossed_boot_p_two_sided
pair_cells,9,0.006516658141416355,0.08071006001463962,-0.05552258590736211,0.06855590219019482,0.24222475389936501,0.4073500521093909,0.8147001042187818,0.08074158463312169,0.41015625,0.5555555555555556,0.8203125,-0.07110809373659804,0.09232623447589036,0.42778,0.85556
r1_session_means,3,0.006516658141416355,0.0419095809196687,-0.09759251230478473,0.11062582858761745,0.2693222587485545,0.4064612912669138,0.8129225825338277,0.155493278587236,0.625,0.6666666666666666,1.0,-0.07110809373659804,0.09232623447589036,0.42778,0.85556
r2_session_means,3,0.00651665814141635,0.08112929929693874,-0.1950196937699887,0.20805301005282142,0.13912585335143388,0.4510478917450238,0.9020957834900476,0.08032434888368675,0.625,0.3333333333333333,1.0,-0.07110809373659804,0.09232623447589036,0.42778,0.85556
