unit,n,mean_gap,gap_sd,ci95_low,ci95_high,t_statistic,p_one_sided_gt0,p_two_sided,cohen_dz,wilcoxon_p_one_sided_gt0,positive_fraction,wilcoxon_p_two_sided,crossed_boot_ci95_low,crossed_boot_ci95_high,crossed_boot_fraction_le0,crossed_boot_p_two_sided
pair_cells,9,0.008175304424588822,0.06456412330035134,-0.04145307401422512,0.05780368286340277,0.3798690669068994,0.35696437550358323,0.7139287510071665,0.1266230223022998,0.455078125,0.4444444444444444,0.91015625,-0.04791773544455173,0.08413174645083667,0.42188,0.84376
r1_session_means,3,0.008175304424588824,0.02181210542438844,-0.04600896923280844,0.06235957808198609,0.6491827522022672,0.2914067367621041,0.5828134735242082,0.37480583673724105,0.375,0.6666666666666666,0.75,-0.04791773544455173,0.08413174645083667,0.42188,0.84376
r2_session_means,3,0.008175304424588817,0.06968965010252617,-0.16494338351378174,0.18129399236295934,0.20318716782045074,0.42889265613327787,0.8577853122665557,0.11731016603701488,0.625,0.3333333333333333,1.0,-0.04791773544455173,0.08413174645083667,0.42188,0.84376
