repeat,random_forward,random_reverse,random_asymmetry,baseline_forward,baseline_reverse,baseline_asymmetry,matched_forward,matched_reverse,matched_asymmetry
0,0.2444403719160928,0.3048806214686125,0.0604402495525197,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
1,0.2415156959172182,0.303088843166216,0.06157314724899779,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
2,0.24622670901554655,0.31685463290040367,0.07062792388485711,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
3,0.23564427596605297,0.3107688173137528,0.0751245413476998,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
4,0.2256642256087115,0.3067665221944183,0.0811022965857068,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
5,0.23311656872680886,0.30777652646788173,0.07465995774107287,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
6,0.24539701979801937,0.29664457339537137,0.051247553597352,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
7,0.2359430040925317,0.3028486629622726,0.0669056588697409,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
8,0.2394890552444881,0.31714531050123523,0.07765625525674713,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
9,0.23737317267492553,0.30884363183907276,0.07147045916414724,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
10,0.2622626919070723,0.3006274353334675,0.038364743426395176,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
11,0.2409310456731788,0.2891296074672517,0.04819856179407289,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
12,0.24295235085699954,0.28863840081783976,0.04568604996084022,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
13,0.22269015881429852,0.2906267963026567,0.06793663748835818,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
14,0.24889781086225865,0.3139730453498297,0.06507523448757108,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
15,0.24903222521094132,0.2902219351484276,0.041189709937486274,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
16,0.24575878533026083,0.3079673614443668,0.06220857611410599,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
17,0.2506969755414401,0.2950216757990164,0.04432470025757629,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
18,0.23732459417692575,0.3109098901792535,0.07358529600232777,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
19,0.2592743124340446,0.30302180711372506,0.043747494679680476,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
20,0.23660166676500746,0.3005716962448191,0.06397002947981165,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
21,0.2586521668336224,0.31179600078796604,0.05314383395434363,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
22,0.24874540257226582,0.31203186571841246,0.06328646314614664,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
23,0.2431022543511406,0.3142360027177793,0.07113374836663869,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
24,0.25613963004399,0.30332188560992046,0.047182255565930475,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
