unit,n,mean_gap,gap_sd,ci95_low,ci95_high,t_statistic,p_one_sided_gt0,p_two_sided,cohen_dz,wilcoxon_p_one_sided_gt0,positive_fraction,crossed_boot_ci95_low,crossed_boot_ci95_high,crossed_boot_fraction_le0
pair_cells,42,0.10139688674698985,0.07450519269523834,0.0781794342734433,0.1246143392205364,8.819880962136846,2.556703325485688e-11,5.113406650971376e-11,1.3609371787245934,1.4551915228366852e-10,0.9047619047619048,0.060297720715159285,0.14007127774105702,0.0
r1_session_means,14,0.10139688674698988,0.07049521804281353,0.060694159653766094,0.14209961384021366,5.381817672545403,6.248789491904544e-05,0.0001249757898380909,1.438351274910718,0.0001220703125,0.9285714285714286,0.060297720715159285,0.14007127774105702,0.0
r2_session_means,3,0.10139688674698988,0.018004796144709477,0.05667049365154011,0.14612327984243964,9.75432091335837,0.005173617485915898,0.010347234971831796,5.631659805089451,0.125,1.0,0.060297720715159285,0.14007127774105702,0.0
