target_mode,match_direction,n_cells,baseline_r1_to_r2_mean,baseline_r2_to_r1_mean,baseline_signed_gap,matched_r1_to_r2_mean,matched_r2_to_r1_mean,matched_signed_gap,gap_change,mean_absolute_cell_gap
relative_position,trim_r2_to_r1,42,0.3787942485278708,0.4760738228939731,0.09727957436610225,0.40730893296470344,0.5041447989044279,0.0968358659397244,-0.0004437084263778507,0.12111667785756677
relative_position,trim_r1_to_r2,42,0.3787942485278708,0.4760738228939731,0.09727957436610225,0.3160043949017248,0.49735933736640836,0.18135494246468356,0.08407536809858131,0.20982610148369849
relative_velocity,trim_r2_to_r1,42,0.2364917030657981,0.3271528568044203,0.09066115373862217,0.2463222230462511,0.2936429542999372,0.047320731253686125,-0.043340422484936046,0.09285625601189637
relative_velocity,trim_r1_to_r2,42,0.2364917030657981,0.3271528568044203,0.09066115373862217,0.2109997664566486,0.29443955350111245,0.08343978704446381,-0.007221366694158363,0.1111743913202768
