animal,match_metric,pair_id,r1_date,r2_date,match_direction,anchor_session,trimmed_session,anchor_band_lower,anchor_band_upper,step,n_remaining,pair_msd_mean,distance_to_band,removed_index,removed_contribution
TS,position,1,20250731,20250828,trim_r2_to_r1,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,0.0,20.691800847619668,0,90,3.26942463462021,0.0,,
TS,position,1,20250731,20250828,trim_r1_to_r2,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,0.0,6.806088781713756,0,43,7.366623059137062,0.5605342774233062,,
TS,position,1,20250731,20250828,trim_r1_to_r2,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,0.0,6.806088781713756,1,42,4.812661894158791,0.0,18.0,59.72282694119163
TS,position,2,20250731,20250829,trim_r2_to_r1,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,0.0,20.691800847619668,0,95,1.7066157425394444,0.0,,
TS,position,2,20250731,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,0.0,3.9380207565989918,0,43,7.366623059137062,3.4286023025380703,,
TS,position,2,20250731,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,0.0,3.9380207565989918,1,42,4.812661894158791,0.8746411375597991,18.0,59.72282694119163
TS,position,2,20250731,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,0.0,3.9380207565989918,2,41,3.665902471699465,0.0,25.0,27.747850343345313
TS,position,3,20250731,20250830,trim_r2_to_r1,TSAL20250731_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,0.0,20.691800847619668,0,79,2.6436476124827175,0.0,,
TS,position,3,20250731,20250830,trim_r1_to_r2,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250731_0830_staticAndStaticFree,0.0,8.443920781469508,0,43,7.366623059137062,0.0,,
TS,position,4,20250801,20250828,trim_r2_to_r1,TSAL20250801_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,0.0,8.610506271240247,0,90,3.26942463462021,0.0,,
TS,position,4,20250801,20250828,trim_r1_to_r2,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250801_0830_staticAndStaticFree,0.0,6.806088781713756,0,91,3.921318354201199,0.0,,
TS,position,5,20250801,20250829,trim_r2_to_r1,TSAL20250801_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,0.0,8.610506271240247,0,95,1.7066157425394444,0.0,,
TS,position,5,20250801,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250801_0830_staticAndStaticFree,0.0,3.9380207565989918,0,91,3.921318354201199,0.0,,
TS,position,6,20250801,20250830,trim_r2_to_r1,TSAL20250801_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,0.0,8.610506271240247,0,79,2.6436476124827175,0.0,,
TS,position,6,20250801,20250830,trim_r1_to_r2,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250801_0830_staticAndStaticFree,0.0,8.443920781469508,0,91,3.921318354201199,0.0,,
TS,position,7,20250802,20250828,trim_r2_to_r1,TSAL20250802_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.0,6.6283030447709885,0,90,3.26942463462021,0.0,,
TS,position,7,20250802,20250828,trim_r1_to_r2,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250802_0830_staticAndStaticFree001,0.0,6.806088781713756,0,75,2.9486902685961254,0.0,,
TS,position,8,20250802,20250829,trim_r2_to_r1,TSAL20250802_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.0,6.6283030447709885,0,95,1.7066157425394444,0.0,,
TS,position,8,20250802,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250802_0830_staticAndStaticFree001,0.0,3.9380207565989918,0,75,2.9486902685961254,0.0,,
TS,position,9,20250802,20250830,trim_r2_to_r1,TSAL20250802_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.0,6.6283030447709885,0,79,2.6436476124827175,0.0,,
TS,position,9,20250802,20250830,trim_r1_to_r2,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250802_0830_staticAndStaticFree001,0.0,8.443920781469508,0,75,2.9486902685961254,0.0,,
TS,position,10,20250803,20250828,trim_r2_to_r1,TSAL20250803_1400_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.04619135755692749,8.718133273710912,0,90,3.26942463462021,0.0,,
TS,position,10,20250803,20250828,trim_r1_to_r2,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250803_1400_staticAndStaticFree001,0.0,6.806088781713756,0,75,4.382162315633919,0.0,,
TS,position,11,20250803,20250829,trim_r2_to_r1,TSAL20250803_1400_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.04619135755692749,8.718133273710912,0,95,1.7066157425394444,0.0,,
TS,position,11,20250803,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250803_1400_staticAndStaticFree001,0.0,3.9380207565989918,0,75,4.382162315633919,0.44414155903492736,,
TS,position,11,20250803,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250803_1400_staticAndStaticFree001,0.0,3.9380207565989918,1,74,3.9209855480195426,0.0,12.0,21.215114333558642
TS,position,12,20250803,20250830,trim_r2_to_r1,TSAL20250803_1400_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.04619135755692749,8.718133273710912,0,79,2.6436476124827175,0.0,,
TS,position,12,20250803,20250830,trim_r1_to_r2,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250803_1400_staticAndStaticFree001,0.0,8.443920781469508,0,75,4.382162315633919,0.0,,
TS,position,13,20250804,20250828,trim_r2_to_r1,TSAL20250804_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.0,12.671287819374282,0,90,3.26942463462021,0.0,,
TS,position,13,20250804,20250828,trim_r1_to_r2,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250804_0830_staticAndStaticFree001,0.0,6.806088781713756,0,70,3.803184840273542,0.0,,
TS,position,14,20250804,20250829,trim_r2_to_r1,TSAL20250804_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.0,12.671287819374282,0,95,1.7066157425394444,0.0,,
TS,position,14,20250804,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250804_0830_staticAndStaticFree001,0.0,3.9380207565989918,0,70,3.803184840273542,0.0,,
TS,position,15,20250804,20250830,trim_r2_to_r1,TSAL20250804_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.0,12.671287819374282,0,79,2.6436476124827175,0.0,,
TS,position,15,20250804,20250830,trim_r1_to_r2,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250804_0830_staticAndStaticFree001,0.0,8.443920781469508,0,70,3.803184840273542,0.0,,
TS,position,16,20250805,20250828,trim_r2_to_r1,TSAL20250805_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.0,7.009675670422904,0,90,3.26942463462021,0.0,,
TS,position,16,20250805,20250828,trim_r1_to_r2,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250805_0830_staticAndStaticFree001,0.0,6.806088781713756,0,78,3.357339070422118,0.0,,
TS,position,17,20250805,20250829,trim_r2_to_r1,TSAL20250805_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.0,7.009675670422904,0,95,1.7066157425394444,0.0,,
TS,position,17,20250805,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250805_0830_staticAndStaticFree001,0.0,3.9380207565989918,0,78,3.357339070422118,0.0,,
TS,position,18,20250805,20250830,trim_r2_to_r1,TSAL20250805_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.0,7.009675670422904,0,79,2.6436476124827175,0.0,,
TS,position,18,20250805,20250830,trim_r1_to_r2,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250805_0830_staticAndStaticFree001,0.0,8.443920781469508,0,78,3.357339070422118,0.0,,
TS,position,19,20250806,20250828,trim_r2_to_r1,TSAL20250806_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.5711252011796764,5.64058287511291,0,90,3.26942463462021,0.0,,
TS,position,19,20250806,20250828,trim_r1_to_r2,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250806_0830_staticAndStaticFree001,0.0,6.806088781713756,0,100,3.105854038146293,0.0,,
TS,position,20,20250806,20250829,trim_r2_to_r1,TSAL20250806_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.5711252011796764,5.64058287511291,0,95,1.7066157425394444,0.0,,
TS,position,20,20250806,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250806_0830_staticAndStaticFree001,0.0,3.9380207565989918,0,100,3.105854038146293,0.0,,
TS,position,21,20250806,20250830,trim_r2_to_r1,TSAL20250806_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.5711252011796764,5.64058287511291,0,79,2.6436476124827175,0.0,,
TS,position,21,20250806,20250830,trim_r1_to_r2,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250806_0830_staticAndStaticFree001,0.0,8.443920781469508,0,100,3.105854038146293,0.0,,
